Country,Gender,2018,2015,2010,2005,2000
Serbia,Both,8.7,8.7,11.7,NA,NA
Serbia,Male,13.9,13.8,18.6,NA,NA
Serbia,Female,3.9,3.9,5.2,NA,NA
Seychelles,Both,20.5,18.3,10.2,6.1,7.6
Seychelles,Male,32.0,28.6,15.6,9.6,12.0
Seychelles,Female,9.5,8.4,4.4,2.7,3.4
Sierra Leone,Both,5.7,5.6,5.8,5.6,5.8
Sierra Leone,Male,9.9,9.8,10.2,9.6,9.9
Sierra Leone,Female,1.6,1.6,1.6,1.7,1.8
Singapore,Both,2.0,2.1,2.2,1.8,2.5
Singapore,Male,3.1,3.1,3.3,2.7,3.7
Singapore,Female,1.0,1.1,1.1,0.9,1.3
Slovakia,Both,11.1,11.5,12.0,12.1,12.5
Slovakia,Male,17.4,18.0,18.7,18.9,19.6
Slovakia,Female,5.3,5.6,5.8,5.8,5.9
Slovenia,Both,11.9,12.7,11.5,12.3,12.6
Slovenia,Male,18.4,19.7,17.8,19.1,19.6
Slovenia,Female,5.6,6.0,5.5,5.9,6.0
Solomon Islands,Both,1.8,1.6,1.6,1.6,1.2
Solomon Islands,Male,3.0,2.6,2.6,2.6,2.0
Solomon Islands,Female,0.6,0.5,0.5,0.5,0.4
Somalia,Both,0.0,0.0,0.3,0.1,0.0
Somalia,Male,0.0,0.0,0.5,0.1,0.0
Somalia,Female,0.0,0.0,0.1,0.0,0.0
South Africa,Both,9.5,9.6,10.0,9.6,10.0
South Africa,Male,15.9,16.1,16.7,15.9,16.7
South Africa,Female,3.5,3.5,3.7,3.6,3.8
Spain,Both,12.7,11.3,10.0,12.8,12.4
Spain,Male,20.1,17.8,15.7,19.9,19.3
Spain,Female,5.8,5.1,4.6,6.1,5.9
Sri Lanka,Both,4.1,4.1,3.9,2.6,2.2
Sri Lanka,Male,6.8,6.8,6.4,4.2,3.6
Sri Lanka,Female,1.7,1.7,1.6,1.0,0.9
